unit_502  = 砲艦
tooltip_repair_wounds_disabled_3  = ダメージコントロール：潜水している時に修理はできません
tooltip_torpedo_launch_disabled_5  = 魚雷は海ヘックスからのみ発射されます
tooltip_air_lift_disabled_1  = ユニットは攻撃をした後に輸送機を離陸させる事はできません
tooltip_repair_friendly_disabled_3  = 以前のターンから戦闘に参加していない隣接したユニットだけを修理できます
tooltip_repair_friendly_disabled_4  = 以前のターンから戦闘に参加していない時にのみ他のユニットを修理する事ができます
tooltip_switch_air_field  = 航空レイヤーにフォーカスします[@]
tooltip_switch_ground_field  = 非航空レイヤーにフォーカスします[@]
tooltip_shared_flags  = チームメンバーが他の味方の占領/勝利ポイントの周囲にユニットを配置するのを許可します
tooltip_stat_efficiency  = 効率：効率は疲労や混乱や士気低下を現し、ユニットの戦闘におけるパフォーマンスに影響します
tooltip_stat_assault  = 突撃：敵の要塞レベルを低下させます

reserve_title  = 確保スロット
reserve_text  = 特定のプレイヤーの為にスロットを確保できます。これにより招待した以外の他のプレイヤーがこのスロットを取る事を防ぎます
search  = 探索

editor_strength_difficulty_compensation  = 難易度ボーナスの補正
editor_shared_flags  = チームで勝利ポイントを分配します
editor_undeploy_unit  = 配置していないユニット

commander_1_descr  = P.シンプソン軍曹は幾つもの日本軍歩兵の攻撃に対しての傑出した勇気と冷静さによって、戦場で昇進しました

faction_ijn  = 大日本帝國

trait_49_title  = 試作船殻
trait_49_descr  = ユニットは魚雷攻撃に対する免疫があります
trait_50_title  = 防御兵器
trait_50_descr  = ユニットは攻撃では非効率的です
trait_51_title  = 制空戦闘機
trait_51_descr  = 戦闘機と戦術爆撃機に対して秀でている航空機
trait_52_title  = 迎撃機
trait_52_descr  = 戦略爆撃機を破壊する為に設計された航空機
trait_53_title  = 地上攻撃機
trait_53_descr  = 地上目標を攻撃する為に設計された航空機
