name;id;factions;category;class;models;counter;miniature;idleEffect;moveEffect;rotationEffect;weaponEffect;deathEffect;antiSubEffect;antiAirEffect;chassis;available;expire;series;cost;supply;production;mp;ap;steps;fuel;strength;range;LOS;radar;shock;assault;bombardment;blast;cargo;carrier;transport;switch;spawn;torpedo;attack type;defense type;inf att;veh att;air sml att; air lrg att; nav sml att; nav lrg att; sub att;inf def;veh def;bomb def;air def;nav def;torp def;land def;traits;specialisation;construction
japanese_infantry_42;438;japan, ijn, ;land;infantry;Jap_Rifle_41 -0.01 -0.1, Jap_Grenade_41 -0.2 0.12, Jap_Rifle_41 0.2 0.1, ;US_Infantry;;infantryidle;infantrymove;;infantryattack;;;;foot;16/1/1942;24/2/1943;infantry;40;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;13;6-10;;;;;;13;10;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_43;439;japan, ijn, ;land;infantry;Jap_Rifle_41 -0.01 -0.1, Jap_Grenade_43 -0.2 0.12, Jap_Rifle_41 0.2 0.1, ;US_Infantry;;infantry43idle;infantrymove;;infantry43attack;;;;foot;24/2/1943;9/2/1944;infantry;45;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;14;7-11;;;;;;14;10;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_44;440;japan, ijn, ;land;infantry;Jap_Rifle_44 -0.01 -0.1, Jap_Grenade_44 -0.2 0.12, Jap_Rifle_44 0.2 0.1, ;US_Infantry;;infantry43idle;infantrymove;;infantry43attack;;;;foot;9/2/1944;17/2/1945;infantry;50;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;15;8-12;;;;;;15;11;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_infantry_45;441;japan, ijn, ;land;infantry;Jap_Rifle_44 -0.01 -0.1, Jap_Type5RL_45 -0.2 0.12, Jap_Rifle_44 0.2 0.1, ;US_Infantry;;infantry45idle;infantrymove;;infantry45japattack;;;;foot;17/2/1945;;infantry;60;3;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_infantry, ;;;infantry;infantry;16;9-13;;;;;;16;11;13;14;13;;;tunneling,concealable,lightTreaded,;;mg_nest -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_37;532;japan, ijn, ;land;infantry;Jap_Heavy_Type92_37 -0.01 -0.1, Jap_Heavy_Grenade_37 -0.2 0.12, Jap_Heavy_Type2_37 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle,0;heavyinfantrymove;;heavyinfantryattack,0;;;aamg,0;foot;18/4/1937;11/4/1939;heavyinfantry;50;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;9;6-8;3;;;;;13;10;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_39;533;japan, ijn, ;land;infantry;Jap_Heavy_Type92_41 -0.01 -0.1, Jap_Heavy_Grenade_41 -0.2 0.12, Jap_Heavy_Type2_41 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle,0;heavyinfantrymove;;heavyinfantryattack,0;;;aamg,0;foot;11/4/1939;14/3/1940;heavyinfantry;55;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;11;6-9;3;;;;;14;11;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_40;2149;japan, ijn, ;land;infantry;Jap_Heavy_Type92_41 -0.01 -0.1, Jap_Heavy_Grenade_41 -0.2 0.12, Jap_Heavy_Type2_41 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle;heavyinfantrymove;;heavyinfantryattack;;;aamg;foot;14/3/1940;18/3/1941 ;heavyinfantry;60;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;12;7-10;3;;;;;14;11;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_41;234;japan, ijn, ;land;infantry;Jap_Heavy_Type92_41 -0.01 -0.1, Jap_Heavy_Grenade_41 -0.2 0.12, Jap_Heavy_Type2_41 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle;heavyinfantrymove;;heavyinfantryattack;;;aamg;foot;18/3/1941 ;23/3/1942;heavyinfantry;60;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;13;8-11;3;;;;;15;11;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_42;450;japan, ijn, ;land;infantry;Jap_Heavy_Type92_41 -0.01 -0.1, Jap_Heavy_Grenade_41 -0.2 0.12, Jap_Heavy_Type100-40_42 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle;heavyinfantrymove;;heavyinfantryattack;;;aamg;foot;23/3/1942;5/4/1943;heavyinfantry;80;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;14;9-12;3;;;;;16;11;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_43;451;japan, ijn, ;land;infantry;Jap_Heavy_Type92_41 -0.01 -0.1, Jap_Heavy_Grenade_41 -0.2 0.12, Jap_Heavy_Type100-40_42 0.17 0.12, ;US_Infantry;;heavyinfantrysatchelidle;heavyinfantrymove;;heavyinfantry42attack;;;aamg;foot;5/4/1943;20/4/1944;heavyinfantry;100;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;15;10-13;3;;;;;17;11;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_44;452;japan, ijn, ;land;infantry;Jap_Heavy_Type1_44 -0.01 -0.1, Jap_Heavy_Type4RL_44 -0.2 0.12, Jap_Heavy_Type100-40_42 0.17 0.12, ;US_Infantry;;heavyinfantrybazookaidle;heavyinfantrymove;;heavyinfantry43attack;;;aamg;foot;20/4/1944;30/4/1945;heavyinfantry;120;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;16;11-14;3;;;;;18;12;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_heavyinfantry_45;453;japan, ijn, ;land;infantry;Jap_Heavy_Type1_44 -0.01 -0.1, Jap_Heavy_Type4RL_44 -0.2 0.12, Jap_Heavy_Type100-40_42 0.17 0.12, ;US_Infantry;;heavyinfantrybazookaidle;heavyinfantrymove;;heavyinfantry43attack;;;aamg;foot;30/4/1945;;heavyinfantry;140;4;;4;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;weapon:Japanese_MortarInfantry mortar;;;infantry;infantry;17;12-15;3;;;;;19;12;13;14;13;;;tunneling,concealable,;;bunker -1 3 0 Defensive_Doctrine
japanese_marines_37;534;japan, ijn, ;land;infantry;Jap_Marine_Rifle_37 -0.01 -0.1, Jap_Marine_Grenade_37 -0.2 0.12, Jap_Marine_Type2_37 0.2 0.1, ;US_Infantry;;marineidle,0;infantrymove;;marineattack,0;;;;foot;25/8/1937;11/9/1939;marines;40;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;11;3-6;;;;;;11;10;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_39;535;japan, ijn, ;land;infantry;Jap_Marine_Rifle_41 -0.01 -0.1, Jap_Marine_Grenade_41 -0.2 0.12, Jap_Marine_Type2_41 0.2 0.1, ;US_Infantry;;marineidle,0;infantrymove;;marineattack,0;;;;foot;11/9/1939;20/9/1940;marines;50;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;12;3-6;;;;;;12;10;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_40;2150;japan, ijn, ;land;infantry;Jap_Marine_Rifle_41 -0.01 -0.1, Jap_Marine_Grenade_41 -0.2 0.12, Jap_Marine_Type2_41 0.2 0.1, ;US_Infantry;;marineidle;infantrymove;;marineattack;;;;foot;20/9/1940;30/8/1941;marines;60;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;13;4-8;;;;;;13;10;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_41;231;japan, ijn, ;land;infantry;Jap_Marine_Rifle_41 -0.01 -0.1, Jap_Marine_Grenade_41 -0.2 0.12, Jap_Marine_Type2_41 0.2 0.1, ;US_Infantry;;marineidle;infantrymove;;marineattack;;;;foot;30/8/1941;10/9/1942;marines;60;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;14;5-9;;;;;;14;10;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_42;446;japan, ijn, ;land;infantry;Jap_Marine_Rifle_41 -0.01 -0.1, Jap_Marine_Grenade_41 -0.2 0.12, Jap_Marine_Type100-40_42 0.2 0.1, ;US_Infantry;;marineidle;infantrymove;;marineattack;;;;foot;10/9/1942;7/9/1943;marines;70;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;15;6-10;;;;;;15;11;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_43;447;japan, ijn, ;land;infantry;Jap_Marine_Rifle_41 -0.01 -0.1, Jap_Marine_Grenade_43 -0.2 0.12, Jap_Marine_Type100-40_42 0.2 0.1, ;US_Infantry;;marine43idle;infantrymove;;marine43attack;;;;foot;7/9/1943;28/9/1944;marines;80;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;16;7-11;;;;;;16;11;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_44;448;japan, ijn, ;land;infantry;Jap_Marine_Rifle_44 -0.01 -0.1, Jap_Marine_Grenade_44 -0.2 0.12, Jap_Marine_Type100-44_44 0.2 0.1, ;US_Infantry;;marine43idle;infantrymove;;marine43attack;;;;foot;28/9/1944;3/8/1945;marines;90;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;17;8-12;;;;;;17;12;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_marines_45;449;japan, ijn, ;land;infantry;Jap_Marine_Rifle_44 -0.01 -0.1, Jap_Marine_Type5RL_45 -0.2 0.12, Jap_Marine_Type100-44_44 0.2 0.1, ;US_Infantry;;marine45idle;marine45move;;marine45japattack;;;;foot;3/8/1945;;marines;100;3;;6;1;1;1;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;banzai:banzai_marines, ;;;infantry;infantry;18;9-13;;;;;;18;12;13;14;13;;;tunneling,concealable,guerrilla,marines,;;
japanese_engineers_37;536;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle,0;engineermove;;engineerattack,0;;;;foot;6/11/1937;17/11/1939;engineers;20;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;7-13;1-5;;;;;;7;9;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_39;2159;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;17/11/1939;24/12/1940;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;8-14;1-5;;;;;;8;9;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_40;2151;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;24/12/1940;18/11/1941;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;9-15;2-6;;;;;;9;9;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_41;12;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;18/11/1941;4/12/1942;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;10-16;2-7;;;;;;10;9;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_42;2160;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;4/12/1942;30/11/1943;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;11-17;3-8;;;;;;11;10;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_43;2161;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;30/11/1943;24/11/1944;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;12-18;3-9;;;;;;12;10;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_44;2162;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;24/11/1944;13/12/1945;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;13-19;4-10;;;;;;13;11;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_engineers_45;2163;japan, ijn, ;land;infantry;Jap_Flamethrower_41 0.14 -0.08, Jap_Engineer_41 -0.14 0.08, ;Infantry;;engineeridle;engineermove;;engineerattack;;;;foot;13/12/1945;;engineers;30;2;;4;1;1;;100;;4;;10;7;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;14-20;4-10;;;;;;14;11;13;14;13;;;explosives,bridgeBuilder,tunneling,concealable,minelayer,minesweeper,entrenchSupport,hexRepairer,;;
japanese_paratroopers_41;44;japan, ijn, ;land;infantry;Jap_Para_Type2_41 -0.01 -0.1, Jap_Para_Grenade_41 -0.2 0.12, Jap_Para_Type2_41 0.2 0.1, ;Infantry;;infantryidle;paratroopermove;;paratrooperattack;;;;foot;29/6/1941;2/7/1942;paratroopers;80;4;;6;1;1;3;100;;4;;/;2;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;airlift:ki-34_thora, ;;;infantry;infantry;14-17;5-9;;;;;;14;10;13;14;13;;;explosives,tunneling,concealable,airborne, quickEntrench;;
japanese_paratroopers_42;442;japan, ijn, ;land;infantry;Jap_Para_Type100 -0.01 -0.1, Jap_Para_Grenade_41 -0.2 0.12, Jap_Para_Type100 0.2 0.1, ;Infantry;;infantryidle;paratroopermove;;paratrooperattack;;;;foot;2/7/1942;1/7/1943;paratroopers;100;4;;6;1;1;3;100;;4;;/;2;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;airlift:ki-34_thora, ;;;infantry;infantry;15-18;6-10;;;;;;15;11;13;14;13;;;explosives,tunneling,concealable,airborne, quickEntrench;;
japanese_paratroopers_43;443;japan, ijn, ;land;infantry;Jap_Para_Type100 -0.01 -0.1, Jap_Para_Grenade_43 -0.2 0.12, Jap_Para_Type100 0.2 0.1, ;Infantry;;infantry43idle;paratroopermove;;paratrooper43attack;;;;foot;1/7/1943;1/6/1944;paratroopers;120;4;;6;1;1;3;100;;4;;/;2;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;airlift:ki-34_thora, ;;;infantry;infantry;16-19;7-11;;;;;;16;11;13;14;13;;;explosives,tunneling,concealable,airborne, quickEntrench;;
japanese_paratroopers_44;444;japan, ijn, ;land;infantry;Jap_Para_Type100 -0.01 -0.1, Jap_Para_Grenade_43 -0.2 0.12, Jap_Para_Type100 0.2 0.1, ;Infantry;;infantry43idle;paratroopermove;;paratrooper43attack;;;;foot;1/6/1944;10/7/1945;paratroopers;140;4;;6;1;1;3;100;;4;;/;2;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;airlift:ki-34_thora, ;;;infantry;infantry;17-20;8-12;;;;;;17;12;13;14;13;;;explosives,tunneling,concealable,airborne, quickEntrench;;
japanese_paratroopers_45;445;japan, ijn, ;land;infantry;Jap_Para_Type100 -0.01 -0.1, Jap_Para_Type5RL_45 -0.2 0.12, Jap_Para_Type100 0.2 0.1, ;Infantry;;infantry45idle;paratroopermove;;paratrooper45japattack;;;;foot;10/7/1945;;paratroopers;160;4;;6;1;1;3;100;;4;;/;2;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;airlift:ki-34_thora, ;;;infantry;infantry;18-21;9-13;;;;;;18;12;13;14;13;;;explosives,tunneling,concealable,airborne, quickEntrench;;
japanese_commandos_44;53;japan, ijn, ;land;infantry;Jap_Marine_Sniper 0.12 -0.08, Jap_Marine_Type100-44_44 -0.12 0.08, ;Infantry;;commandoidle;engineermove;;commandoattack;;;;foot;1/11/1944;;;50;2;;6;1;1;;100;;2;;10;/;;;;;;airlift:ki-34_thora, ;;;infantry;infantry;10-12;2;;;;;;9;17;18;18;18;;;camouflaged,explosives,concealable,noSupply,guerrilla,quickRetreat,noCapture,marines,specOps,noEntrench,airborne,;;
banzai_marines;43;japan, ijn, ;land;infantry;Jap_Marine_Katana_41 -0.01 -0.1, Jap_Marine_Bayonet_41 -0.2 0.12, Jap_Marine_Bayonet_41 0.2 0.1, ;Infantry;;swordidle;swordmove;;swordattack;;;;foot;;;marines;0;3;;6;1;1;1;100;;4;;10;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;instantRevert, ;;;infantry;infantry;18-20;;;;;;;5;8;13;14;13;;;noPurchase,tunneling,concealable,highRiskReturn,guerrilla,marines,banzai,;;
banzai_infantry;10;japan, ijn, ;land;infantry;Jap_Katana_41 -0.01 -0.1, Jap_Bayonet_41 -0.2 0.12, Jap_Bayonet_41 0.2 0.1, ;Infantry;;swordidle;swordmove;;swordattack;;;;foot;;;infantry;0;3;;6;1;1;;100;;4;;10;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;instantRevert, ;;;infantry;infantry;18-20;;;;;;;5;8;13;14;13;;;noPurchase,tunneling,concealable,highRiskReturn,banzai,lightTreaded,;;
lunge_miners;420;japan, ijn, ;land;infantry;Jap_Miner_45 0.14 -0.08, Jap_Miner_45 -0.14 0.08, ;Infantry;;minersidle;engineermove;;minersattack;;;;foot;;;;15;1;;6;1;1;;100;;4;;;;;;;;type94_truck, type98_so-da, type1_ho-ha, type1_ho-ki, ;;;;infantry;infantry;;7-10;;;;;;1;5;13;14;13;;;camouflaged,tunneling,concealable,kamikaze,noEntrench;kamikaze;
volunteer_fighters;421;japan, ijn, ;land;infantry;VolunteerSpear -0.01 -0.1, VolunteerMolotov -0.2 0.12, VolunteerFemaleSpear 0.2 0.1, ;Infantry;;volunteeridle;volunteermove;;volunteerattack;;;;foot;;;;10;1;;6;1;1;;100;;4;;5;;;;;;type94_truck, ;;;;infantry;infantry;3-5;1-4;;;;;;4;5;10;14;10;;;noPurchase,camouflaged,concealable,noSupply,noCapture,noRepair,lightTreaded,;;
japanese_cavalry;554;japan, ijn, ;land;infantry;transport_horse_B -0.12 0.05, transport_horse 0.12 -0.03, Jap_Rifle_41 -0.12 0.05, Jap_Rifle_41 0.12 -0.03;Cavalry;;CavalryIdle;cavalrymove;CavalryRotate;cavalryattack;CavalryDeath;;;foot;1/1/1937;1/5/1941;;50;3;;6;1;1;;100;;4;;;;;;;;;;;;infantry;infantry;11-8;3;;;;;;9;8;12;12;13;;;rotateFormation;;
japanese_mortarinfantry;1075;japan, ijn, ;land;infantry;Jap_Mortar -0.01 -0.1, Jap_Heavy_Grenade_37 -0.2 0.12, Jap_Heavy_Type2_37 0.17 0.12, ;US_Infantry;;MortarInfantryIdle;heavyinfantrymove;;MortarInfantryAttack;;;;foot;;;heavyinfantry;50;4;;0;1;1;;100;2;4;;10;;;;;;;instantRevert,;;;artillery;infantry;6-4;2-1;;;;;;14;11;13;14;13;;;noPurchase,noEditor,noRepair,concealable;;
japanese_snipers;1091;japan, ijn, ;land;infantry;Jap_Marine_Sniper ;Infantry;;scoutidle;scoutmove;;scoutattack;InfantrySingleDeath;;;foot;;;;20;1;;6;1;1;;100;;2;;;;;;;;;;;;infantry;infantry;3;;;;;;;2;3;18;18;18;;;noPurchase,camouflaged,concealable,noSupply,guerrilla,noCapture,marines,noEntrench,firstStrike,;;
type94_truck;17;japan, ijn, ;land;transport_land;Type94_Truck 0 0, ;Type94_Truck;;;axtruck;rotaxtrucks;;;;;wheel;;;;30;1;;8;1;1;;100;;2;;;;;;;;;;;;mechanical;mechanical;/;/;;;;;;5;5;10;8;10;;;;;
type98_so-da;22;japan, ijn, ;land;transport_land;Type98_So-Da 0 0, ;Type98_So-Da;;;axtankette;rotaxtankettes;;;;;track_light;1/1/1941 ;;;40;1;;8;1;1;;100;;4;;;;;;;;;;;;mechanical;mechanical;/;/;;;;;;6;6;11;8;11;;;;;
type1_ho-ha;54;japan, ijn, ;land;transport_land;Type1_Ho-Ha 0 0, ;Type1_Ho-Ha;;;axhalftrack;rotaxhtracks;type97lmg;;;;halftrack;1/7/1943;;;50;1;;8;1;1;;100;;4;;;;;;;;;;;;mechanical;mechanical;3;2;2;;;;;8;7;12;9;12;;;;;
type1_ho-ki;56;japan, ijn, ;land;transport_land;Type1_Ho-Ki 0 0, ;Type1_Ho-Ki;;;axtankmedium;rotaxmtanks;type97lmg;;;;track;1/7/1944;;;55;1;;8;1;1;;100;;4;;;;;;;;;;;;mechanical;mechanical;2;1;;;;;;10;7;13;10;13;;;;;
